Timestamp,Pass-Fail,Pat Score,Pat Angle,Pat Scale
2022-06-21_09-39-37.140,Pass,0.99767977,1.006922659,1.000488007
2022-06-21_09-39-41.652,Pass,0.997660816,1.010611389,1.000493457
2022-06-21_09-39-43.806,Pass,0.997987926,1.011051894,1.000453098
2022-06-21_09-39-44.985,Pass,0.997807801,1.011846238,1.00056369
2022-06-21_09-39-46.040,Pass,0.997594476,1.004324004,1.000537157
2022-06-21_09-39-46.866,Pass,0.997698724,1.008159475,1.000602026
2022-06-21_09-39-47.740,Pass,0.997840941,1.010733402,1.000678664
2022-06-21_09-39-48.467,Pass,0.997760355,1.013912496,1.000762553
2022-06-21_09-39-49.076,Pass,0.99758023,1.019547146,1.000736219
2022-06-21_09-39-49.770,Pass,0.997826755,1.009096019,1.000595089
2022-06-21_09-39-50.331,Pass,0.997485399,1.010877437,1.00052289
2022-06-21_09-39-50.909,Pass,0.997513831,1.026896126,1.000731449
2022-06-21_09-39-51.518,Pass,0.997428536,1.019430911,1.000707442
2022-06-21_09-39-52.080,Pass,0.997897863,1.006694726,1.000582781
2022-06-21_09-39-52.665,Pass,0.997741401,1.007082232,1.00041818
2022-06-21_09-39-53.227,Pass,0.997665584,1.006674341,1.000424538
2022-06-21_09-39-53.868,Pass,0.99748069,1.015842036,1.000434898
2022-06-21_09-39-54.376,Pass,0.997656047,1.014624063,1.000516433
2022-06-21_09-39-54.943,Pass,0.997494876,1.014545897,1.000581553
2022-06-21_09-39-55.514,Pass,0.997641861,1.011313688,1.000508325
2022-06-21_09-39-56.086,Pass,0.997741401,1.018756087,1.000657843
2022-06-21_09-39-56.669,Pass,0.993038714,1.014581841,1.000709398
2022-06-21_09-39-57.254,Pass,0.997736692,1.014832305,1.000695457
2022-06-21_09-39-57.786,Pass,0.993043482,1.022886512,1.000730321
2022-06-21_09-39-58.394,Pass,0.993024528,1.019384831,1.000622384
2022-06-21_09-39-58.955,Pass,0.997656047,1.012584946,1.000390984
2022-06-21_09-39-59.495,Pass,0.997570753,1.024532631,1.000533581
2022-06-21_09-40-00.064,Pass,0.997670293,1.012735329,1.000730108
2022-06-21_09-40-00.626,Pass,0.997694016,1.026690287,1.000555204
2022-06-21_09-40-01.244,Pass,0.997523367,1.020236893,1.00068734
