Timestamp,Pass-Fail,Line1Angle,Line2Angle
2022-06-23_11-48-14.243,Pass,88.1094796,86.40986164
2022-06-23_11-48-44.889,Pass,88.40018493,86.45315392
2022-06-23_11-48-45.548,Pass,87.80771627,86.42759118
2022-06-23_11-48-46.053,Pass,88.32990275,86.45383817
2022-06-23_11-48-46.521,Pass,88.33128138,86.38038265
2022-06-23_11-48-46.966,Pass,87.91242566,86.42708795
2022-06-23_11-48-47.418,Pass,88.54288521,86.37954515
2022-06-23_11-48-47.832,Pass,88.85841786,86.45199149
2022-06-23_11-48-48.269,Pass,88.34925491,86.39645476
2022-06-23_11-48-48.729,Pass,88.63443583,86.40904651
2022-06-23_11-48-49.112,Pass,88.05252878,86.4388299
2022-06-23_11-48-49.526,Pass,87.93035473,86.45345915
2022-06-23_11-48-49.916,Pass,88.77574656,86.41972336
2022-06-23_11-48-50.322,Pass,87.89718612,86.41016557
2022-06-23_11-48-50.744,Pass,88.01804556,86.44095219
2022-06-23_11-48-51.127,Pass,88.51487311,86.41843512
2022-06-23_11-48-51.553,Pass,88.2339796,86.408477
2022-06-23_11-48-51.952,Pass,88.36596895,86.43076304
2022-06-23_11-48-52.353,Pass,88.74923963,86.45625526
2022-06-23_11-48-52.718,Pass,87.9906445,86.46858581
2022-06-23_11-48-53.132,Pass,87.80640823,86.3816364
2022-06-23_11-48-53.535,Pass,87.99086198,86.42614803
2022-06-23_11-48-53.888,Pass,89.09573055,86.44774384
2022-06-23_11-48-54.309,Pass,89.11847645,86.45250869
2022-06-23_11-48-54.692,Pass,88.79620572,86.4252845
2022-06-23_11-48-55.082,Pass,88.90631695,86.43523123
2022-06-23_11-48-55.535,Pass,88.05786524,86.41476186
2022-06-23_11-48-55.956,Pass,88.80092032,86.4264953
2022-06-23_11-48-56.722,Pass,88.63754965,86.4734689
2022-06-23_11-48-57.135,Pass,88.81256924,86.4730544
