Timestamp,Pass-Fail,Line1Angle,Line2Angle,Part No,Operator
2022-06-23_13-18-48.570,Pass,87.94235471,86.28982855,1,1
2022-06-23_13-18-52.146,Pass,88.1594076,86.36036438,1,1
2022-06-23_13-18-53.472,Pass,88.42579484,86.2889972,1,1
2022-06-23_13-18-54.784,Pass,89.31687773,89.79314098,2,1
2022-06-23_13-18-55.378,Pass,89.70158441,88.19447681,2,1
2022-06-23_13-18-56.798,Pass,89.20979719,88.22418527,2,1
2022-06-23_13-18-58.125,Pass,85.05879044,88.17165627,3,1
2022-06-23_13-18-59.023,Pass,85.12640565,88.90930288,3,1
2022-06-23_13-18-59.522,Pass,85.95372081,89.15986236,3,1
2022-06-23_13-19-00.600,Pass,88.92079073,79.14208924,4,1
2022-06-23_13-19-01.342,Pass,88.95353369,79.39494147,4,1
2022-06-23_13-19-01.840,Pass,89.37881083,79.40868017,4,1
2022-06-23_13-19-03.036,Pass,88.6780183,87.89494052,5,1
2022-06-23_13-19-03.776,Pass,88.64830185,87.76524403,5,1
2022-06-23_13-19-04.190,Pass,88.5010342,87.86179237,5,1
2022-06-23_13-19-06.135,Pass,87.90262129,88.7547671,6,1
2022-06-23_13-19-07.353,Pass,88.25833806,88.85064746,6,1
2022-06-23_13-19-07.727,Pass,87.86236319,88.81666817,6,1
2022-06-23_13-19-08.709,Pass,88.3773454,88.65373642,7,1
2022-06-23_13-19-09.624,Pass,88.4348979,88.62259461,7,1
2022-06-23_13-19-10.084,Pass,88.36875481,88.65971782,7,1
2022-06-23_13-19-13.144,Pass,83.44417455,86.94943659,8,1
2022-06-23_13-19-13.964,Pass,83.51704608,87.83696006,8,1
2022-06-23_13-19-14.408,Pass,83.86200598,87.05667823,8,1
2022-06-23_13-19-15.214,Pass,86.54590061,88.18824284,9,1
2022-06-23_13-19-15.855,Pass,86.57909026,88.20552336,9,1
2022-06-23_13-19-16.298,Pass,86.65677981,88.1810544,9,1
2022-06-23_13-19-17.039,Pass,87.72795035,85.89169504,10,1
2022-06-23_13-19-17.827,Pass,87.54448561,85.85168029,10,1
2022-06-23_13-19-18.287,Pass,88.60405853,85.78041649,10,1
