Timestamp,Pass-Fail,Found Blob 1 Count,Found Blob 2 Count,Found Radius,Part No,Operator
2022-06-24_15-14-52.088,Pass,1,1,65.39456356,1,1
2022-06-24_15-14-53.376,Pass,1,1,65.39329131,1,1
2022-06-24_15-14-54.282,Pass,1,1,65.40928934,1,1
2022-06-24_15-14-54.796,Pass,1,1,67.9004812,2,1
2022-06-24_15-14-55.249,Pass,1,1,68.96673229,2,1
2022-06-24_15-14-55.756,Pass,1,1,67.87378563,2,1
2022-06-24_15-14-56.318,Pass,1,1,62.42035961,3,1
2022-06-24_15-14-56.818,Pass,1,1,62.40695235,3,1
2022-06-24_15-14-57.240,Pass,1,1,62.43083231,3,1
2022-06-24_15-14-57.630,Pass,1,1,64.85635102,4,1
2022-06-24_15-14-57.974,Pass,1,1,65.31530779,4,1
2022-06-24_15-14-58.278,Pass,1,1,63.84925532,4,1
2022-06-24_15-14-58.566,Pass,1,1,64.6023824,5,1
2022-06-24_15-14-58.855,Pass,1,1,64.62211781,5,1
2022-06-24_15-14-59.120,Pass,1,1,64.6286475,5,1
2022-06-24_15-14-59.395,Pass,1,1,64.90911553,6,1
2022-06-24_15-14-59.636,Pass,1,1,64.85255423,6,1
2022-06-24_15-14-59.862,Pass,1,1,65.49902233,6,1
2022-06-24_15-15-00.096,Pass,1,1,66.28331427,7,1
2022-06-24_15-15-00.322,Pass,1,1,66.28812751,7,1
2022-06-24_15-15-00.549,Pass,1,1,66.27520888,7,1
2022-06-24_15-15-00.774,Pass,1,1,64.3988766,8,1
2022-06-24_15-15-00.987,Pass,1,1,66.14099694,8,1
2022-06-24_15-15-01.188,Pass,1,1,61.34427099,8,1
2022-06-24_15-15-01.414,Pass,1,1,63.03186871,9,1
2022-06-24_15-15-01.634,Pass,1,1,63.03144524,9,1
2022-06-24_15-15-01.844,Pass,1,1,63.01123172,9,1
2022-06-24_15-15-02.764,Pass,1,1,72.35971486,10,1
2022-06-24_15-15-03.882,Pass,1,1,72.3412869,10,1
2022-06-24_15-15-05.130,Pass,1,1,72.34937076,10,1
